                                                           Vallejo Police Department Public Log
                                                                  from 03/01/2026 to 03/01/2026
  Incident #        Date                              Location                             Description           Beat                    Disposition
2603010163     03/01/2026 16:09   300 BLK LIGHTHOUSE DR                   AUDIBLE ALARM                     6     UNABLE TO LOCATE

2603010164     03/01/2026 16:15   SPRINGS RD/OAKWOOD AV                   SIDE SHOW (NOT SIMPLE 23103)      2     GENERAL SERVICE PROVIDED

2603010165     03/01/2026 16:15   1100 BLK ENTERPRISE ST                  AUDIBLE ALARM                     7     UNFOUNDED

2603010166     03/01/2026 16:16   1100 BLK MARIN ST                       NOISE COMPLAINT                   6     COPIED TO PATROL LOG

2603010168     03/01/2026 16:18   5TH ST/LEMON ST                         SUSPICIOUS VEHICLE CHECK          4     GENERAL SERVICE PROVIDED

2603010169     03/01/2026 16:23   500 BLK FAIRGROUNDS DR                  ASSAULT REPORT                    7     REPORT

2603010170     03/01/2026 16:24   300 BLK MEADOWS DR                      NOISE COMPLAINT                   8     ALERT BROADCAST

2603010171     03/01/2026 16:26   100 BLK COVENTRY WY                     ABANDONED VEHICLE                 2     REPORT

2603010173     03/01/2026 16:44   600 BLK CAPITOL ST                      VERBAL FIGHT                      5     GENERAL SERVICE PROVIDED

2603010174     03/01/2026 16:54   300 BLK HOSPITAL DR                     WELFARE CHECK                     7     CANCELLED BY REPORTING PARTY

2603010176     03/01/2026 17:05   SPRINGS RD/OAKWOOD AV                   SIDE SHOW (NOT SIMPLE 23103)      2     GENERAL SERVICE PROVIDED

2603010177     03/01/2026 17:05   500 BLK LIGHTHOUSE DR                   AUDIBLE ALARM                     6     UNABLE TO LOCATE

2603010178     03/01/2026 17:09   00 BLK FRISBIE ST                       VERBAL FIGHT                      6     CANCELLED BY REPORTING PARTY

2603010179     03/01/2026 17:12   100 BLK BAHIA VISTA CT                  INFORMATIONAL REPORT              3     CANCELLED BY DISPATCH

2603010180     03/01/2026 17:12   700 BLK TUOLUMNE ST                     AREA CHECK                        5     ALERT BROADCAST

2603010181     03/01/2026 17:13   1200 BLK GLEN COVE PKY                  WELFARE CHECK                     3     DUPLICATE CALL

2603010182     03/01/2026 17:16   400 BLK ILLINOIS ST                     SUSPICIOUS VEHICLE CHECK          5     DUPLICATE CALL

2603010183     03/01/2026 17:27   700 BLK SUTTER ST                       TRESPASS IN PROGRESS              4     UNABLE TO LOCATE

2603010184     03/01/2026 17:28   100 BLK AMADOR ST                       TRAFFIC COLLISION / NO DETAILS    4     CANCELLED BY DISPATCH

2603010186     03/01/2026 17:39   I 780 E/GLEN COVE RD                    INJURY COLLISION                  3     GENERAL SERVICE PROVIDED

2603010187     03/01/2026 17:45   SPRINGS RD/VERVAIS AV                   TRAFFIC STOP                      2     WARNING GIVEN

2603010188     03/01/2026 17:54   400 BLK MONTEREY ST                     INFORMATIONAL REPORT              4     GENERAL SERVICE PROVIDED

2603010191     03/01/2026 18:05   600 BLK SONOMA BL                       VERBAL FIGHT                      4     ARREST

2603010192     03/01/2026 18:07   00 BLK BURNHAM ST                       911 HANGUP                        6     UNABLE TO LOCATE

2603010193     03/01/2026 18:12   900 BLK PINE ST                         NEIGHBORHOOD DISPUTE              4     UNABLE TO LOCATE

2603010194     03/01/2026 18:12   00 BLK SELFRIDGE ST                     VEHICLE THEFT REPORT              6     REPORT

2603010195     03/01/2026 18:21   800 BLK CAROLINA ST                     RAVEN ALERT SHOTS FIRED           5     UNABLE TO LOCATE



