                                                           Vallejo Police Department Public Log
                                                                  from 03/17/2026 to 03/17/2026
  Incident #        Date                               Location                           Description     Beat               Disposition
2603170136     03/17/2026 14:22   3400 BLK SONOMA BL                    ASSAULT REPORT                   6     GENERAL SERVICE PROVIDED

2603170137     03/17/2026 14:30   1800 BLK LOUISIANA ST                 TRESPASS IN PROGRESS             5     GENERAL SERVICE PROVIDED

2603170138     03/17/2026 14:33   1100 BLK SONOMA BL                    CUSTOMER DISTURBANCE             4     GENERAL SERVICE PROVIDED

2603170140     03/17/2026 14:34   1600 BLK TENNESSEE ST                 911 HANGUP                       5     UNABLE TO LOCATE

2603170141     03/17/2026 14:36   3500 BLK SONOMA BL                    SUSP CIRCUMSTANCES               6     GENERAL SERVICE PROVIDED

2603170142     03/17/2026 14:37   1300 BLK TENNESSEE ST                 SUSPICIOUS PERSON                5     GENERAL SERVICE PROVIDED

2603170143     03/17/2026 14:37   1100 BLK BEACH ST                     CITIZEN ASSIST                   4     GENERAL SERVICE PROVIDED

2603170145     03/17/2026 14:50   100 BLK CARNATION CIR                 ABANDONED VEHICLE                8     GENERAL SERVICE PROVIDED

2603170149     03/17/2026 15:00   300 BLK OHIO ST                       VEHICLE THEFT REPORT             6     GENERAL SERVICE PROVIDED

2603170150     03/17/2026 15:03   300 BLK FAIRGROUNDS DR                CUSTOMER DISTURBANCE             7     UNABLE TO LOCATE



Total 174 Records                                                     Page 4 of 6                                  Updated @ 3/22/2026 3:20:03 AM
                                                           Vallejo Police Department Public Log
                                                                  from 03/17/2026 to 03/17/2026
  Incident #        Date                              Location                            Description       Beat               Disposition
2603170151     03/17/2026 15:07   GEORGIA ST/MONTEREY ST                 TRAFFIC STOP                        4     WARNING GIVEN

2603170152     03/17/2026 15:08   100 BLK FARRAGUT AV                    WELFARE CHECK                       6     MH TEAM -IHART PRIMARY

2603170154     03/17/2026 15:12   100 BLK RIVER PINES WY                 ABANDONED VEHICLE                   8     GENERAL SERVICE PROVIDED

2603170157     03/17/2026 15:23   100 BLK MARTIN ST                      ABANDONED VEHICLE                   8     GENERAL SERVICE PROVIDED

2603170159     03/17/2026 15:37   100 BLK AMADOR ST                      RETURNED MISSING PERSON             4     REPORT

2603170162     03/17/2026 15:49   1000 BLK ALABAMA ST                    911 HANGUP                          5     UNABLE TO LOCATE

